Date,FlareTV,DailySubs
9/1/2018,"12,242",+172 
9/2/2018,"12,624",+382 
9/3/2018,"13,112",+488 
9/4/2018,"13,866",+754 
9/5/2018,"14,808",+942 
9/6/2018,"18,027","+3,219 "
9/7/2018,"25,038","+7,011 "
9/8/2018,"33,382","+8,344 "
9/9/2018,"41,354","+7,972 "
9/10/2018,"46,216","+4,862 "
9/11/2018,"49,641","+3,425 "
9/12/2018,"52,269","+2,628 "
9/13/2018,"55,406","+3,137 "
9/14/2018,"58,583","+3,177 "
9/15/2018,"59,867","+1,284 "
9/16/2018,"63,226","+3,359 "
9/17/2018,"65,267","+2,041 "
9/18/2018,"66,832","+1,565 "
9/19/2018,"68,508","+1,676 "
9/20/2018,"69,601","+1,093 "
9/21/2018,"71,086","+1,485 "
9/22/2018,"72,216","+1,130 "
9/23/2018,"75,287","+3,071 "
9/24/2018,"77,244","+1,957 "
9/25/2018,"79,043","+1,799 "
9/26/2018,"80,404","+1,361 "
9/27/2018,"81,187",+783 
9/28/2018,"81,913",+726 
9/29/2018,"82,925","+1,012 "
9/30/2018,"84,138","+1,213 "
10/1/2018,"85,121",+983 
10/2/2018,"85,978",+857 
10/3/2018,"86,510",+532 
10/4/2018,"87,125",+615 
10/5/2018,"87,635",+510 
10/6/2018,"90,269","+2,634 "
10/7/2018,"91,889","+1,620 "
10/8/2018,"93,153","+1,264 "
10/9/2018,"95,666","+2,513 "
10/10/2018,"97,894","+2,228 "
10/11/2018,"100,389","+2,495 "
10/12/2018,"102,962","+2,573 "
10/13/2018,"105,394","+2,432 "
10/14/2018,"108,171","+2,777 "
10/15/2018,"110,247","+2,076 "
10/16/2018,"112,186","+1,939 "
10/17/2018,"114,719","+2,533 "
10/18/2018,"117,647","+2,928 "
10/19/2018,"120,454","+2,807 "
10/20/2018,"125,141","+4,687 "
10/21/2018,"129,833","+4,692 "
10/22/2018,"132,640","+2,807 "
10/23/2018,"135,893","+3,253 "
10/24/2018,"138,993","+3,100 "
10/25/2018,"143,095","+4,102 "
10/26/2018,"154,061","+10,966 "
10/27/2018,"181,772","+27,711 "
10/28/2018,"202,635","+20,863 "
10/29/2018,"215,946","+13,311 "
10/30/2018,"224,317","+8,371 "
10/31/2018,"232,320","+8,003 "
11/1/2018,"239,225","+6,905 "
11/2/2018,"248,587","+9,362 "
11/3/2018,"256,045","+7,458 "
11/4/2018,"262,316","+6,271 "
11/5/2018,"267,041","+4,725 "
11/6/2018,"273,940","+6,899 "
11/7/2018,"282,332","+8,392 "
11/8/2018,"289,575","+7,243 "
11/9/2018,"297,942","+8,367 "
11/10/2018,"309,506","+11,564 "
11/11/2018,"315,923","+6,417 "
11/12/2018,"321,048","+5,125 "
11/13/2018,"326,621","+5,573 "
11/14/2018,"332,824","+6,203 "
11/15/2018,"338,764","+5,940 "
11/16/2018,"345,290","+6,526 "
11/17/2018,"351,945","+6,655 "
11/18/2018,"358,225","+6,280 "
11/19/2018,"367,078","+8,853 "
11/20/2018,"374,985","+7,907 "
11/21/2018,"384,961","+9,976 "
11/22/2018,"395,686","+10,725 "
11/23/2018,"409,319","+13,633 "
11/24/2018,"422,857","+13,538 "
11/25/2018,"437,987","+15,130 "
11/26/2018,"452,801","+14,814 "
11/27/2018,"462,450","+9,649 "
11/28/2018,"471,015","+8,565 "
11/29/2018,"479,795","+8,780 "
11/30/2018,"488,229","+8,434 "
12/1/2018,"504,751","+16,522 "
12/2/2018,"537,676","+32,925 "
12/3/2018,"568,350","+30,674 "
12/4/2018,"593,136","+24,786 "
12/5/2018,"611,207","+18,071 "
12/6/2018,"626,129","+14,922 "
12/7/2018,"640,094","+13,965 "
12/8/2018,"657,830","+17,736 "
12/9/2018,"676,607","+18,777 "
12/10/2018,"689,437","+12,830 "
12/11/2018,"704,227","+14,790 "
12/12/2018,"723,744","+19,517 "
12/13/2018,"739,507","+15,763 "
12/14/2018,"749,078","+9,571 "
12/15/2018,"756,848","+7,770 "
12/16/2018,"764,645","+7,797 "
12/17/2018,"772,532","+7,887 "
12/18/2018,"780,034","+7,502 "
12/19/2018,"786,453","+6,419 "
12/20/2018,"792,482","+6,029 "
12/21/2018,"796,959","+4,477 "
12/22/2018,"806,376","+9,417 "
12/23/2018,"812,722","+6,346 "
12/24/2018,"818,073","+5,351 "
12/25/2018,"822,486","+4,413 "
12/26/2018,"827,334","+4,848 "
12/27/2018,"832,601","+5,267 "
12/28/2018,"838,602","+6,001 "
12/29/2018,"844,998","+6,396 "
12/30/2018,"852,085","+7,087 "
12/31/2018,"858,447","+6,362 "
1/1/2019,"864,259","+5,812 "
1/2/2019,"869,874","+5,615 "
1/3/2019,"875,412","+5,538 "
1/4/2019,"880,319","+4,907 "
1/5/2019,"886,542","+6,223 "
1/6/2019,"893,702","+7,160 "
1/7/2019,"900,236","+6,534 "
1/8/2019,"905,030","+4,794 "
1/9/2019,"909,785","+4,755 "
1/10/2019,"912,947","+3,162 "
1/11/2019,"917,204","+4,257 "
1/12/2019,"924,553","+7,349 "
1/13/2019,"931,194","+6,641 "
1/14/2019,"937,923","+6,729 "
1/15/2019,"940,853","+2,930 "
1/16/2019,"943,405","+2,552 "
1/17/2019,"949,155","+5,750 "
1/18/2019,"952,672","+3,517 "
1/19/2019,"961,891","+9,219 "
1/20/2019,"980,670","+18,779 "
1/21/2019,"1,001,187","+20,517 "
1/22/2019,"1,024,849","+23,662 "
1/23/2019,"1,042,838","+17,989 "
1/24/2019,"1,055,324","+12,486 "
1/25/2019,"1,064,347","+9,023 "
1/26/2019,"1,074,132","+9,785 "
1/27/2019,"1,083,124","+8,992 "
1/28/2019,"1,090,083","+6,959 "
1/29/2019,"1,097,102","+7,019 "
1/30/2019,"1,104,269","+7,167 "
1/31/2019,"1,110,727","+6,458 "
2/1/2019,"1,118,062","+7,335 "
2/2/2019,"1,129,449","+11,387 "
2/3/2019,"1,153,580","+24,131 "
2/4/2019,"1,171,075","+17,495 "
2/5/2019,"1,183,736","+12,661 "
2/6/2019,"1,192,482","+8,746 "
