Date,Social Blade,DailySubs
9/1/2018,"152,656",
9/2/2018,"152,671",+15 
9/3/2018,"152,687",+16 
9/4/2018,"152,704",+17 
9/5/2018,"152,706",+2 
9/6/2018,"152,718",+12 
9/7/2018,"152,721",+3 
9/8/2018,"152,750",+29 
9/9/2018,"152,761",+11 
9/10/2018,"152,786",+25 
9/11/2018,"152,810",+24 
9/12/2018,"152,832",+22 
9/13/2018,"152,866",+34 
9/14/2018,"152,911",+45 
9/15/2018,"152,932",+21 
9/16/2018,"152,942",+10 
9/17/2018,"152,950",+8 
9/18/2018,"152,978",+28 
9/19/2018,"152,937",-41 
9/20/2018,"152,951",+14 
9/21/2018,"152,954",+3 
9/22/2018,"152,972",+18 
9/23/2018,"152,988",+16 
9/24/2018,"152,990",+2 
9/25/2018,"152,985",-5 
9/26/2018,"153,014",+29 
9/27/2018,"153,025",+11 
9/28/2018,"153,029",+4 
9/29/2018,"153,048",+19 
9/30/2018,"153,054",+6 
10/1/2018,"153,057",+3 
10/2/2018,"153,065",+8 
10/3/2018,"153,087",+22 
10/4/2018,"153,089",+2 
10/5/2018,"153,092",+3 
10/6/2018,"153,127",+35 
10/7/2018,"153,141",+14 
10/8/2018,"153,169",+28 
10/9/2018,"153,191",+22 
10/10/2018,"153,195",+4 
10/11/2018,"153,198",+3 
10/12/2018,"153,215",+17 
10/13/2018,"153,223",+8 
10/14/2018,"153,235",+12 
10/15/2018,"153,232",-3 
10/16/2018,"153,243",+11 
10/17/2018,"153,250",+7 
10/18/2018,"153,270",+20 
10/19/2018,"153,292",+22 
10/20/2018,"153,314",+22 
10/21/2018,"153,343",+29 
10/22/2018,"153,371",+28 
10/23/2018,"153,381",+10 
10/24/2018,"153,417",+36 
10/25/2018,"154,109",+692 
10/26/2018,"154,960",+851 
10/27/2018,"155,791",+831 
10/28/2018,"157,313","+1,522 "
10/29/2018,"158,213",+900 
10/30/2018,"158,694",+481 
10/31/2018,"159,632",+938 
11/1/2018,"161,259","+1,627 "
11/2/2018,"163,655","+2,396 "
11/3/2018,"166,914","+3,259 "
11/4/2018,"168,131","+1,217 "
11/5/2018,"168,632",+501 
11/6/2018,"169,819","+1,187 "
11/7/2018,"170,896","+1,077 "
11/8/2018,"171,322",+426 
11/9/2018,"172,642","+1,320 "
11/10/2018,"174,444","+1,802 "
11/11/2018,"175,458","+1,014 "
11/12/2018,"176,708","+1,250 "
11/13/2018,"178,126","+1,418 "
11/14/2018,"180,101","+1,975 "
11/15/2018,"181,268","+1,167 "
11/16/2018,"182,922","+1,654 "
11/17/2018,"184,893","+1,971 "
11/18/2018,"185,839",+946 
11/19/2018,"186,380",+541 
11/20/2018,"186,967",+587 
11/21/2018,"187,532",+565 
11/22/2018,"188,244",+712 
11/23/2018,"189,150",+906 
11/24/2018,"193,098","+3,948 "
11/25/2018,"196,127","+3,029 "
11/26/2018,"196,980",+853 
11/27/2018,"197,687",+707 
11/28/2018,"198,075",+388 
11/29/2018,"198,588",+513 
11/30/2018,"199,343",+755 
12/1/2018,"201,396","+2,053 "
12/2/2018,"207,270","+5,874 "
12/3/2018,"209,352","+2,082 "
12/4/2018,"210,663","+1,311 "
12/5/2018,"211,573",+910 
12/6/2018,"212,348",+775 
12/7/2018,"212,892",+544 
12/8/2018,"213,528",+636 
12/9/2018,"214,039",+511 
12/10/2018,"214,649",+610 
12/11/2018,"220,146","+5,497 "
12/12/2018,"221,514","+1,368 "
12/13/2018,"223,094","+1,580 "
12/14/2018,"224,732","+1,638 "
