ms	datetime	channel	type	magnitude	minute_total	baseline	organic_n
1539752268000	2018-10-17 04:57:48 UTC	ts	minor	54	54	1.6	60
1539757346000	2018-10-17 06:22:26 UTC	ts	minor	61	61	2.6	60
1539778950000	2018-10-17 12:22:30 UTC	pdp	audit	-10714	-10714	0.6	60
1539778963000	2018-10-17 12:22:43 UTC	ts	audit	-50505	-50505	1.5	60
1539792772000	2018-10-17 16:12:52 UTC	ts	minor	66	66	1.1	60
1539806923000	2018-10-17 20:08:43 UTC	ts	audit	65973	65973	0.3	60
1539807027000	2018-10-17 20:10:27 UTC	pdp	audit	7844	7844	0.5	60
1539831940000	2018-10-18 03:05:40 UTC	ts	minor	96	96	0.7	60
1539838668000	2018-10-18 04:57:48 UTC	ts	minor	54	54	1.5	60
1539843746000	2018-10-18 06:22:26 UTC	ts	minor	57	57	2.5	60
1539879172000	2018-10-18 16:12:52 UTC	ts	minor	65	65	1.1	60
1539884839000	2018-10-18 17:47:19 UTC	pdp	minor	-100	-100	0.7	60
1539887784000	2018-10-18 18:36:24 UTC	pdp	audit	630	630	0.3	60
1539888198000	2018-10-18 18:43:18 UTC	ts	audit	7588	7588	1.5	60
1539918340000	2018-10-19 03:05:40 UTC	ts	minor	85	85	0.6	60
1539930146000	2018-10-19 06:22:26 UTC	ts	minor	57	57	2.4	60
1539965572000	2018-10-19 16:12:52 UTC	ts	minor	65	65	1.1	60
1539979220000	2018-10-19 20:00:20 UTC	ts	audit	7587	7587	0.9	60
1539979584000	2018-10-19 20:06:24 UTC	pdp	audit	1565	1565	0.6	60
1540004740000	2018-10-20 03:05:40 UTC	ts	minor	84	84	0.6	60
1540016546000	2018-10-20 06:22:26 UTC	ts	minor	54	54	2.3	60
1540051972000	2018-10-20 16:12:52 UTC	ts	minor	67	67	1.2	60
1540057639000	2018-10-20 17:47:19 UTC	pdp	minor	-130	-130	0.9	60
1540069966000	2018-10-20 21:12:46 UTC	ts	audit	3519	3519	0.3	60
1540070017000	2018-10-20 21:13:37 UTC	pdp	audit	-6464	-6464	0.8	60
1540091140000	2018-10-21 03:05:40 UTC	ts	minor	83	83	0.6	60
1540102946000	2018-10-21 06:22:26 UTC	ts	minor	57	57	2.4	60
1540138372000	2018-10-21 16:12:52 UTC	ts	minor	60	60	1.0	60
1540144039000	2018-10-21 17:47:19 UTC	pdp	minor	-121	-121	0.8	60
1540151917000	2018-10-21 19:58:37 UTC	ts	audit	11786	11786	0.7	60
1540152154000	2018-10-21 20:02:34 UTC	pdp	audit	4196	4196	0.6	60
1540177540000	2018-10-22 03:05:40 UTC	ts	minor	69	69	0.5	60
1540224772000	2018-10-22 16:12:52 UTC	ts	minor	57	57	1.1	60
1540230439000	2018-10-22 17:47:19 UTC	pdp	minor	-93	-93	0.6	60
1540233048000	2018-10-22 18:30:48 UTC	ts	audit	2746	2746	1.3	60
1540233109000	2018-10-22 18:31:49 UTC	pdp	audit	1871	1871	0.3	60
1540263940000	2018-10-23 03:05:40 UTC	ts	minor	66	66	0.6	60
1540311172000	2018-10-23 16:12:52 UTC	ts	minor	66	66	0.9	60
1540317991000	2018-10-23 18:06:31 UTC	ts	audit	5055	5055	1.7	60
1540318003000	2018-10-23 18:06:43 UTC	pdp	audit	-3665	-3665	0.8	60
1540350340000	2018-10-24 03:05:40 UTC	ts	minor	93	93	0.5	60
1540403239000	2018-10-24 17:47:19 UTC	pdp	minor	-77	-77	0.6	60
1540407034000	2018-10-24 18:50:34 UTC	pdp	audit	-1928	-1928	0.7	60
1540407046000	2018-10-24 18:50:46 UTC	ts	audit	6277	6277	1.2	60
1540436740000	2018-10-25 03:05:40 UTC	ts	minor	61	61	0.8	60
1540448546000	2018-10-25 06:22:26 UTC	ts	minor	58	58	1.7	60
1540453653000	2018-10-25 07:47:33 UTC	ts	minor	60	60	0.4	60
1540475060000	2018-10-25 13:44:20 UTC	ts	minor	60	60	1.1	60
1540476197000	2018-10-25 14:03:17 UTC	ts	minor	57	57	1.4	60
1540479533000	2018-10-25 14:58:53 UTC	ts	minor	66	66	1.2	60
1540481870000	2018-10-25 15:37:50 UTC	ts	minor	51	51	1.3	60
1540483972000	2018-10-25 16:12:52 UTC	ts	minor	90	90	0.7	60
1540489605000	2018-10-25 17:46:45 UTC	ts	audit	4106	4106	2.0	60
1540493556000	2018-10-25 18:52:36 UTC	ts	minor	73	73	1.4	60
1540523140000	2018-10-26 03:05:40 UTC	ts	minor	92	92	0.3	60
1540546583000	2018-10-26 09:36:23 UTC	ts	minor	63	63	1.3	60
1540547989000	2018-10-26 09:59:49 UTC	ts	minor	54	54	1.1	60
1540570902000	2018-10-26 16:21:42 UTC	ts	minor	84	84	1.8	60
1540588561000	2018-10-26 21:16:01 UTC	ts	audit	4348	4348	0.7	60
1540589255000	2018-10-26 21:27:35 UTC	pdp	audit	-10641	-10641	9.5	60
1540601968000	2018-10-27 00:59:28 UTC	pdp	audit	-25640	-25640	6.4	60
1540603524000	2018-10-27 01:25:24 UTC	pdp	minor	301	301	2.4	60
1540610244000	2018-10-27 03:17:24 UTC	pdp	audit	10191	10191	5.2	60
1540610837000	2018-10-27 03:27:17 UTC	ts	audit	-7715	-7715	2.3	60
